ชื่อสาขา,ที่อยู่,ละติจูด,ลองจิจูด,คะแนนเฉลี่ย,จำนวนรีวิว,ลักษณะทำเล,ประเภทกลุ่มเป้าหมาย,จำนวนสาขาในรัศมี_2_กม,ระยะห่างจากสาขาใกล้สุด_กม,Place_ID
Café Amazon,"566 หมู่ 8 ตำบลท้ายบ้านใหม่ อำเภอเมือง, ตำบล ท้ายบ้านใหม่ สมุทรปราการ, 10280 ประเทศไทย",13.5822041,100.6209592,4.4,49,ไม่สามารถระบุได้,,6,1.23,ChIJB_ZG21dZHTERk7OC-VqKjwU
Cafe' Amazon ท่าเรือข้ามฟากปากน้ำ,"75/1,75/3-13,75/21 29 ถนน ศรีสมุทร ตำบลปากน้ำ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10270 ประเทศไทย",13.5950659,100.5965624,3.8,123,ไม่สามารถระบุได้,,9,0.53,ChIJwebwKIqh4jARpn8W0VVZ1DQ
Café Amazon,ตำบล ท้ายบ้าน อำเภอเมืองสมุทรปราการ สมุทรปราการ 10280 ประเทศไทย,13.5587592,100.6110619,3.0,5,ไม่สามารถระบุได้,,1,1.98,ChIJ22cv33qn4jARWoEsW8HsXGw
คาเฟ่ อเมซอน,"จักกะพาก ตำบลปากน้ำ Mueang, สมุทรปราการ 10270 ประเทศไทย",13.5835143,100.597062,3.6,16,ไม่สามารถระบุได้,,7,0.42,ChIJY-AwOnWn4jAR_Gc1_gROtAc
Café Amazon หน้าร.พ.เปาโลสมุทรปราการ,10/7 ซอย โรงพยาบาลเปาโล ตำบล บางเมือง อำเภอเมืองสมุทรปราการ สมุทรปราการ 10270 ประเทศไทย,13.5978501,100.6147878,4.0,2,ไม่สามารถระบุได้,นักช้อป,8,0.69,ChIJC02eOgCh4jAR68ocsK95iio
Café Amazon,"498/1, บิ๊กซีซุปเปอร์ เซ็นเตอร์ สมุทรปราการ ชั้น 3 ล็อคเลขที่ 3CL044-045, ตำบลปากน้ำ อำเภอเมือง, ตำบลปากน้ำ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10270 ประเทศไทย",13.5844642,100.6074453,3.0,2,ไม่สามารถระบุได้,นักช้อป,9,0.25,ChIJN94gOwCn4jARPoQe4LVWoCg
Café Amazon ทรัพย์บุญชัย 28,45 13 หมู่4 ทรัพย์บุญชัย ซอย 28 ตำบล บางเมือง อำเภอเมืองสมุทราปราการ สมุทรปราการ 10270 ประเทศไทย,13.5957409,100.6307728,4.3,36,ไม่สามารถระบุได้,,3,1.75,ChIJA94hc6JfHTERWp8VJ6bOUHY
คาเฟ่อเมซอน ปตท.โชคมนัสอินเตอร์ออยล์,88/9 ต.ในคลองบางปลากด อ.เมือง ตำบล ในคลองบางปลากด อำเภอพระสมุทรเจดีย์ สมุทรปราการ 10290 ประเทศไทย,13.5928494,100.5688272,4.3,397,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,1,1.84,ChIJP84ESXOh4jARBte0njo1zA8
Café Amazon@โลตัส ศรันครินทร์,JJCC+H8F ตำบลเทพารักษ์ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10270 ประเทศไทย,13.6214392,100.6207997,4.2,12,ไม่สามารถระบุได้,,4,0.75,ChIJ_f6_7WFfHTER_3QJ9WJIVDM
Café Amazon ตลาดนัดสังกะสี,JM32+JF ตำบลเทพารักษ์ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10280 ประเทศไทย,13.6041091,100.6511254,4.3,10,ไม่สามารถระบุได้,,2,0.98,ChIJyWmHgbFfHTERxck3q6DPxP0
Café Amazon@ปั๊มปตท.,27/15 ถ. ศรีนครินทร์ ตำบล บางเมือง อำเภอเมืองสมุทรปราการ สมุทรปราการ 10270 ประเทศไทย,13.6052826,100.6162621,4.4,73,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,6,0.84,ChIJN8PBJqag4jARlBsKMfIk8QU
Cafe Amazon สาขา แพรกษา 10 นิคมอุตสาหกรรมบางปู,167 หมู่ที่ 4 ซอย แพรกษา 10 ตำบล แพรกษา อำเภอเมืองสมุทรปราการ สมุทรปราการ 10280 ประเทศไทย,13.5649984,100.641364,4.2,6,ไม่สามารถระบุได้,นักช้อป,0,2.36,ChIJ6--9QABZHTERloj1migfLRY
Café Amazon,2 ถ. เทพารักษ์ ตำบล บางปลา อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.5938352,100.7671821,4.5,22,ไม่สามารถระบุได้,,0,2.26,ChIJP9-gUCFdHTERQOYpM7ZKkpE
Café Amazon,32 1 ตำบล บางพลีใหญ่ อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.616441,100.7020572,4.6,71,ไม่สามารถระบุได้,,5,1.35,ChIJQYcw0t5fHTER4gE0Nnw4NO8
อเมซอน ปตท กม.16,JP8X+X3M ซอย พูลเจริญ ตำบลบางโฉลง อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.6174685,100.7476852,4.4,58,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,4,0.9,ChIJse6db0tdHTERtyd7f-_W7Fs
Cafe Amazon เคหะบางพลี,4/572 ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ 10540 ประเทศไทย,13.575373,100.7927675,4.1,42,ไม่สามารถระบุได้,นักช้อป,3,1.19,ChIJOX2BtBRbHTERtxNBJw9JRJ8
Café Amazon สาขา สน.ปตท.บางนาตราด กม.14 (ขาออก)ไทยออยล์,เฉลิมพระเกียรติรัชกาลที่ 9 ซอย 30 เขตประเวศ กรุงเทพมหานคร 10540 ประเทศไทย,13.6252543,100.7304364,4.1,35,ไม่สามารถระบุได้,นักช้อป,2,1.31,ChIJfXyfozdcHTERKBF8P7R0YZg
Café Amazon SD4120 สาขาบางปลา2,89 24 ม.11 ตำบล บางปลา อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.5911095,100.7221879,4.6,49,ไม่สามารถระบุได้,,1,0.89,ChIJxwOcVnRdHTER6Jb_3aNXWHM
Café Amazon สาขาถนนบัวนครินทร์,12 4 ถนนบัวนครินทร์ ตำบล บางแก้ว อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.6263066,100.6657032,4.5,20,ไม่สามารถระบุได้,นักช้อป,1,1.48,ChIJ-fP5rnpfHTERI8d2EatM_LQ
Café Amazon Bangkok Free Trade Zone,Bangkok Free Trade Zone 1040/4 หมู่ 15 บางเสาธง ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ 10540 ประเทศไทย,13.5616683,100.7732696,4.4,57,ไม่สามารถระบุได้,,0,2.48,ChIJl10gbaxbHTERWqyLI-h1Z5g
Café Amazon(SD3086) สาขามหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,JQ85+7G7 Unnamed Road ตำบลบางโฉลง อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.6156687,100.7588004,3.8,12,ไม่สามารถระบุได้,,4,0.56,ChIJYUoIRfVdHTER16kH49yGpdo
Café Amazon สาขา PTT คลองขุด,HPW2+92F ตำบล บางพลีใหญ่ อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.5959444,100.7000594,4.0,66,ไม่สามารถระบุได้,,3,0.89,ChIJCWj7s6tfHTEROpE_AgP8TqY
Café Amazon สาขา นิคมอุตสาหกรรมบางปู,HM6C+C9M แพรกษา 14 ตำบล แพรกษา อำเภอเมืองสมุทรปราการ สมุทรปราการ 10280 ประเทศไทย,13.5610943,100.6709332,4.2,35,ไม่สามารถระบุได้,,1,1.06,ChIJvbQeTC5ZHTERhEtUaRBqEYE
Café Amazon,"โรงพยาบาลรามาจักรีนฤบดินทร์ 1st floor Zone B ฝั่งประตูทางเข้า_ออก ฉุกเฉิน, ตำบล บางปลา อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย",13.5261044,100.7611373,5.0,1,ไม่สามารถระบุได้,ผู้ป่วย/บุคลากรทางการแพทย์,0,3.68,ChIJMf824opbHTERrh8cW2Bp1xo
คาเฟ่ อเมซอน,ตำบล แพรกษา อำเภอเมืองสมุทรปราการ สมุทรปราการ 10280 ประเทศไทย,13.5667694,100.6630602,4.3,128,ไม่สามารถระบุได้,,2,1.06,ChIJO9DSR-BYHTERbbHq9qlZCHo
Café Amazon@ศรีวารี,4 32 ม.8 ตำบลบางโฉลง อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.6307669,100.7675849,4.2,29,ไม่สามารถระบุได้,,2,1.42,ChIJB1UQd41dHTER_rv-3_glfdU
Café Amazon,GP3M+XXM ตำบล บางปู อำเภอเมืองสมุทรปราการ สมุทรปราการ 10280 ประเทศไทย,13.5049655,100.7349236,4.3,63,ไม่สามารถระบุได้,,0,3.68,ChIJ-0ORvQRbHTERE2DURhA1QNc
Café Amazon ปั๊ม ปตท.เทพารักษ์,JM4R+4CJ ปั้มน้ำมัน PTT ตำบล บางพลีใหญ่ อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.6053289,100.6910184,4.3,147,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,6,0.9,ChIJt18DDrleHTERhHsshf5B_00
Café Amazon@ปตท.เทพารักษ์ กม.8,3268 ตำบลเทพารักษ์ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10270 ประเทศไทย,13.6131401,100.6678849,4.5,222,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,3,1.0,ChIJ6886EMNfHTER4zdQKq11vL0
Café Amazon สาขา ตลาดรวยทรัพย์,"55/16, ตำบล บางเพรียง อำเภอบางบ่อ สมุทรปราการ 10560 ประเทศไทย",13.5456269,100.7892932,5.0,3,ไม่สามารถระบุได้,นักช้อป,0,2.49,ChIJDSWIRdRbHTERqED8kXoWl2Q
Café Amazon บางปูนคร SD4974,GJJM+7J7 ตำบล บางปูใหม่ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10280 ประเทศไทย,13.5306636,100.6340552,4.3,3,ไม่สามารถระบุได้,นักช้อป,0,2.09,ChIJZYgZUgBZHTER-enxIntaqtg
Café Amazon สาขา PTT บางบ่อ กม.24,HRG4+R8Q ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ 10540 ประเทศไทย,13.5770885,100.8058655,4.4,139,ไม่สามารถระบุได้,,2,1.43,ChIJBZJcvY1FHTERv7uOAI1R_Bk
AMAZON Cafe Mey market,JPH9+6GR ซอย สุขาภิบาล 6 ตำบล บางพลีใหญ่ อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.6281094,100.7187533,4.1,37,ไม่สามารถระบุได้,,5,0.62,ChIJ_4vBYwhdHTERZPSzDH1LvJQ
Café Amazon ปตท บางนา กม 17,19/120 ทางคู่ขนาน ถนนบางนา-ตราด ตำบลบางโฉลง อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.6128364,100.7544961,4.3,184,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,3,0.56,ChIJczFPj19cHTERoeElxgZBls0
Cafe Amazon คลองอาเสี่ย,90 หมู่ 23 ตำบล บางพลีใหญ่ อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.5901133,100.6841245,5.0,4,ไม่สามารถระบุได้,นักช้อป,2,1.84,ChIJbfl97yNZHTERxRBOPphj4To
Café Amazon ตลาดนางรำ,ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ 10540 ประเทศไทย,13.6088505,100.8064572,3.9,14,ไม่สามารถระบุได้,,0,2.88,ChIJBVtohOlDHTERayQ-4IgxDJE
Café Amazon SD3071 สาขาตลาดนัดเรือบิน,242 หมู่ 10 ตำบล บางปลา อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.5967528,100.7441857,3.9,98,ไม่สามารถระบุได้,,1,1.24,ChIJxzJ6valdHTERmgh37j1F5Fk
Cafe Amazon สาขา โลตัส บางปู,GMC9+6G3 ตำบล บางปูใหม่ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10280 ประเทศไทย,13.5205047,100.6687837,3.4,30,ไม่สามารถระบุได้,,0,3.92,ChIJCbA4SspZHTERbXY5RViDgUM
คาเฟ่ อเมซอน,JP77+MP ตำบล บางพลีใหญ่ อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.6140756,100.714273,4.0,58,ไม่สามารถระบุได้,,4,1.35,ChIJwTI2KfVdHTERfGqpFnnR9Rk
Café Amazon ตลาดหัวถนน(ขจรวิทย์),35 ซ. ขจรวิทย์ ตำบล บางพลีใหญ่ อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.609467,100.6763221,1.7,6,ไม่สามารถระบุได้,นักช้อป,4,1.0,ChIJg0VKTaxfHTERW_o4u2SeCuo
Café Amazon สาขา Sino park แพรกษา สมุทรปราการ,HM7V+63C 3256 ตำบล แพรกษาใหม่ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10540 ประเทศไทย,13.5630531,100.6926311,2.8,16,ไม่สามารถระบุได้,,0,2.36,ChIJKdtdRgpZHTER6H7cuH4wfaU
Café Amazon WKS,88 10 หมู่ 11 ถ. เทพารักษ์ ตำบล บางปลา อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.5991447,100.7213899,4.3,7,ไม่สามารถระบุได้,,3,0.89,ChIJX1I1NnFdHTERbVr7DvhA8rE
Café Amazon สาขาโลตัสบางพลี,HQQP+4R5 3268 ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ 10540 ประเทศไทย,13.587751,100.7871068,3.9,17,ไม่สามารถระบุได้,,2,0.73,ChIJ8UyPsF5dHTERRdnnNXt6uq8
Cafe' Amazon สาขา ตลาดทิพย์นิมิตร,เลขที่ A72 หมู่ 9 หมู่บ้าน ตลาดทิพย์นิมิต ถ. เทพารักษ์ ตำบล บางพลีใหญ่ อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.6025147,100.7047548,5.0,4,ไม่สามารถระบุได้,นักช้อป,5,0.89,ChIJyz2TFwBfHTERMdN5jcYl1wA
อเมซอน เยสบางพลี,"201/ข ม.1, ซอย บางเสาธง ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ 10540 ประเทศไทย",13.5860585,100.7936344,4.0,4,ไม่สามารถระบุได้,นักช้อป,3,0.73,ChIJddpfSh1bHTERe8IdWUxo92k
Café Amazon สาขาหนามแดง,JM6P+RH7 ตำบล บางพลีใหญ่ อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย,13.6120407,100.6864101,3.9,41,ไม่สามารถระบุได้,,3,0.89,ChIJcazRxU5fHTERs7ZDzDv8UCw
Café Amazon สาขา สน.ปตท.สาขาฉะเชิงเทรา-บางนาตราด กม.41,ทางคู่ขนาน ถนนบางนา-ตราด ตำบล บางวัว อำเภอบางปะกง ฉะเชิงเทรา 24180 ประเทศไทย,13.5515924,100.9570072,4.2,66,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,2,0.86,ChIJs3s63WxHHTER6tOAt7QzzcA
คาเฟ่ อเมซอน,46/1 หมู่ 7 ทางคู่ขนาน ถนนบางนา-ตราด ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ 10540 ประเทศไทย,13.5912439,100.8262785,4.0,100,ไม่สามารถระบุได้,,3,1.41,ChIJGcWwzWZDHTERXwj-kK_6ilg
Café Amazon,HWF6+H8J ทางคู่ขนาน ถนนบางนา-ตราด ตำบล บางพลีน้อย อำเภอบางบ่อ สมุทรปราการ 10560 ประเทศไทย,13.5739628,100.9107762,4.3,190,ไม่สามารถระบุได้,,0,2.56,ChIJEbps-nJHHTERhY3XIxeIr0c
Café Amazon สาขา Tops Daily Abac บางนา (SC4129),JR7X+R3M 5 ตำบล บางบ่อ อำเภอบางบ่อ สมุทรปราการ 10560 ประเทศไทย,13.6145846,100.8476743,3.8,23,ไม่สามารถระบุได้,,0,3.22,ChIJ4Z3axaNDHTERVETCEHVO3Zw
Café Amazon สาขา Glitter Town,595 HRGW+4X 2 ตำบล บางบ่อ อำเภอบางบ่อ สมุทรปราการ 10560 ประเทศไทย,13.5753125,100.8474375,4.3,4,ไม่สามารถระบุได้,,4,1.2,ChIJw-VTNiJFHTER9Z17eyBIlX0
Café Amazon สาขา สน.ปตท.ฉะเชิงเทรา-บางนา ตราด กม.37,"99, 2 ม.5 ทางคู่ขนาน ถนนบางนา-ตราด ตำบล บางสมัคร อำเภอบางปะกง ฉะเชิงเทรา 24180 ประเทศไทย",13.5684361,100.9338099,4.1,176,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,1,1.6,ChIJqU6oMVJDHTER-2fhfCaENxA
"Café Amazon, PTT Nakswad",ตำบล บางบ่อ อำเภอบางบ่อ สมุทรปราการ 10560 ประเทศไทย,13.5849576,100.8559872,4.1,40,ไม่สามารถระบุได้,,3,1.38,ChIJV7zp9bBDHTERyv-wFsau5Qs
Café Amazon,340 1 ตำบล บางบ่อ อำเภอบางบ่อ สมุทรปราการ 10560 ประเทศไทย,13.5853278,100.8432071,4.3,53,ไม่สามารถระบุได้,,5,0.54,ChIJ3z7lIs1DHTERGaXX_YpMLcU
คาเฟ่ อเมซอน บางบ่อ ตลาดเสริมสุข,หมู่ที่ 1 ถนน รัตนราช ตำบล บางบ่อ อำเภอบางบ่อ สมุทรปราการ 10560 ประเทศไทย,13.5761513,100.8356717,4.1,44,ไม่สามารถระบุได้,,4,1.23,ChIJudXBI95FHTEREn0Gj2SlDak
Amazon สาขาบางโฉลง SD5019,"103, ฺ, 36 Moo1 ซอยบางปลา ๔๓ ตำบลบางโฉลง อำเภอบางพลี สมุทรปราการ 10540 ประเทศไทย",13.6061628,100.7504291,4.4,7,ไม่สามารถระบุได้,,4,0.86,ChIJO6V-qMldHTERFgX7WnnTc1Y
Café Amazon ตลาดเตียกุ๋ยฮวด,HRPQ+MCP ตำบล บางบ่อ อำเภอบางบ่อ สมุทรปราการ 10560 ประเทศไทย,13.5868795,100.838471,5.0,1,ไม่สามารถระบุได้,,5,0.54,ChIJk2xTagBDHTERaYEZ23XfNzE
คาเฟ่ อเมซอน นิคมเวลโกรว์,HWMM+563 ตำบล บางสมัคร อำเภอบางปะกง ฉะเชิงเทรา 24180 ประเทศไทย,13.5828869,100.9330567,3.9,112,ไม่สามารถระบุได้,,1,1.6,ChIJKcAsKFBBHTER6qDib1gUdwU
Café Amazon ปตท.คลองด่าน,FRXR+FV ตำบล คลองด่าน อำเภอบางบ่อ สมุทรปราการ 10550 ประเทศไทย,13.4985831,100.8421404,4.2,20,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,7.73,ChIJcfVNJ3dFHTERxMrBzxvFnQs
Café Amazon สาขา บางปะกง,"เลขที่ 89 9, ตำบล บางปะกง อำเภอบางปะกง ฉะเชิงเทรา 24130 ประเทศไทย",13.5062253,100.9849969,4.3,72,ไม่สามารถระบุได้,,1,1.88,ChIJHbmxvJk5HTERMu9II6GfyZ8
คาเฟ่ อเมซอน-มอร์เตอร์เวย์ ขาออก,"ห้องเลขที่ 45/115 ถ.กรุงเทพ-ชลบุรี(สายใหม่) ต.เขาดิน อ.บางปะกง จ.ฉะเชิงเทรา, ตำบล เขาดิน อำเภอบางปะกง ฉะเชิงเทรา 24130 ประเทศไทย",13.538684,101.0100717,4.1,613,ไม่สามารถระบุได้,นักช้อป,2,0.34,ChIJK6tNFfE4HTER0XwL2Gjgcno
Café amazon สาขาตลาดบางวัว,GXVF+3FF ถนน จรัญยานนท์ ตำบล บางวัว อำเภอบางปะกง ฉะเชิงเทรา 24180 ประเทศไทย,13.542678,100.9736865,4.4,113,ไม่สามารถระบุได้,,2,1.36,ChIJC2UIWcZHHTERTRtSIwIKNBY
Café Amazon ซอยวัดบางวัว,2336 บางวัว ตำบล บางวัว อำเภอบางปะกง ฉะเชิงเทรา 24180 ประเทศไทย,13.5564682,100.963225,3.7,13,ไม่สามารถระบุได้,นักช้อป,3,0.86,ChIJW_coxuZHHTERmxEWsNLK3dE
Café Amazon โรงไฟฟ้าบางปะกง,246ถนน ตำบล ท่าข้าม อำเภอบางปะกง ฉะเชิงเทรา 24130 ประเทศไทย,13.4896631,101.0238324,4.1,31,ไม่สามารถระบุได้,,0,2.23,ChIJnUR3ElA5HTER-oBJflYGJak
Café Amazon สาขาตลาดพานทอง,F3CX+H39 พานทอง ตำบล พานทอง อำเภอพานทอง ชลบุรี 20160 ประเทศไทย,13.4714093,101.0977364,0.0,0,ไม่สามารถระบุได้,,1,1.61,ChIJO2YERwAxHTERIxHZ6IHwB90
Café Amazon สาขา สน.ปตท. สาขาฉะเชิงเทรา-บางนา ตราด กม.49,ถนนบางนา-ตราด ตำบล บางปะกง อำเภอบางปะกง ฉะเชิงเทรา 24130 ประเทศไทย,13.4987792,101.0055084,3.7,32,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,1,1.88,ChIJD2NBGj04HTERZXt22byMirU
Café Amazon สาขา ปตท.แสนภูดาษ,H2Q6+87V ตำบล แสนภูดาษ อำเภอบ้านโพธิ์ ฉะเชิงเทรา 24140 ประเทศไทย,13.5883632,101.0106843,4.1,234,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,2,0.58,ChIJ_c-Ddzo_HTER9WVY_zjHpsg
Café Amazon Drive Thru-Banpho@Depot,H2H4+MQ9 ถ. สิริโสธร ตำบล แสนภูดาษ อำเภอบ้านโพธิ์ ฉะเชิงเทรา 24140 ประเทศไทย,13.5791616,101.0069808,3.8,38,ไม่สามารถระบุได้,,2,1.09,ChIJGeTFzns_HTER0Px7JFyEu3o
Café Amazon มอเตอร์เวย์ขาออก ก5.12,G2R5+95P ตำบล เขาดิน อำเภอบางปะกง ฉะเชิงเทรา 24130 ประเทศไทย,13.5409597,101.0079504,3.2,29,ไม่สามารถระบุได้,,2,0.12,ChIJw1FoCAE5HTERdex5UvLQ4vE
Café Amazon มอเตอร์เวย์ขาเข้ากทมร้านสุดท้,"85/82,85 83 ม.1 ตำบล เขาดิน อำเภอบางปะกง ฉะเชิงเทรา 24130 ประเทศไทย",13.5401479,101.0073104,3.5,64,ไม่สามารถระบุได้,นักช้อป,2,0.11,ChIJ2VWqbu85HTERhH7b5Q-O7_g
Café Amazon ตลาดโรงสี,GXR6+4G ตำบล บางสมัคร อำเภอบางปะกง ฉะเชิงเทรา 24180 ประเทศไทย,13.5403008,100.9613275,2.3,18,ไม่สามารถระบุได้,,3,1.33,ChIJf9BqqW1HHTER63KSPIJpO-8
Café Amazon สาขา เทสโก้ โลตัส บางปะกง,"99 เลขที่ห้อง 5114PG06 หมู่ 2 ต.บางวัว อ.บางปะกง จ.ฉะเชิงเทรา, ตำบล บางปะกง อำเภอบางปะกง ฉะเชิงเทรา 24130 ประเทศไทย",13.4987164,100.9693968,3.9,12,ไม่สามารถระบุได้,,1,1.88,ChIJVVVVVeVHHTERZOq6yZIKiIo
คาเฟ่ อเมซอน,"PTT Petrol Station Chachoengsao - Bang Pra Kong 3, Chachoengsao - Bang Pra Kong Road, Tambon Saen Phu Dat, Amphoe Ban Pho, Chachoengsao, 24140, ตำบล แสนภูดาษ อำเภอบ้านโพธิ์ ฉะเชิงเทรา 24140 ประเทศไทย",13.5913324,101.0151287,4.3,166,ไม่สามารถระบุได้,,2,0.58,ChIJm7WPyyQ_HTER0OnYy-JTUsU
Café Amazon Banpho (นกแก้ว3ตัว),3304 ตำบล บ้านโพธิ์ อำเภอบ้านโพธิ์ ฉะเชิงเทรา 24140 ประเทศไทย,13.6029268,101.0890698,4.7,35,ไม่สามารถระบุได้,,0,2.86,ChIJSYm9V389HTERmmR71wp_NoU
Cafe Amazon สาขา ปตท.คลองประเวศ,168 8 ตำบล คลองประเวศ อำเภอบ้านโพธิ์ ฉะเชิงเทรา 24140 ประเทศไทย,13.6318286,101.029271,4.7,69,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,1,1.16,ChIJA2rNW8o9HTER-IGaPhDnClY
Café Amazon สาขา บีพี แยกบ้านโพธิ์,99 ตำบล คลองประเวศ อำเภอบ้านโพธิ์ ฉะเชิงเทรา 24140 ประเทศไทย,13.6213851,101.030221,4.3,106,ไม่สามารถระบุได้,,1,1.16,ChIJ2w3YBws_HTERf-g4MrKRTeo
Cafe Amazon สาขาบ้านโรงนา,F486+XRC ตำบล พานทอง อำเภอพานทอง ชลบุรี 20160 ประเทศไทย,13.4674339,101.1120171,0.0,0,ไม่สามารถระบุได้,นักช้อป,1,1.61,ChIJOX0SZgAxHTERVUcqueuTF7U
Café Amazon สาขา หจก.ฉะเชิงเทราทรายทองบริการ,"85 ม.2 ต.ดอนทราย อ.บ้านโพธ์ ฉะเชิงเทรา, ตำบล หนองบัว อำเภอบ้านโพธิ์ ฉะเชิงเทรา 24140 ประเทศไทย",13.6140909,101.1128984,4.2,51,ไม่สามารถระบุได้,นักช้อป,0,2.86,ChIJd6fPWlQ8HTERqPJvNZpn0m4
Café Amazon,J8H8+RQ ตำบล หัวสำโรง อำเภอแปลงยาว ฉะเชิงเทรา 24190 ประเทศไทย,13.6295595,101.316893,4.5,2,ไม่สามารถระบุได้,นักช้อป,2,1.36,ChIJq_aybwAhHTERsNvook0wqBs
Café Amazon,J88G+CR3 ซอย เกตเวย์ซิตี้ ตำบล หัวสำโรง อำเภอแปลงยาว ฉะเชิงเทรา 24190 ประเทศไทย,13.61557,101.327295,3.6,12,ไม่สามารถระบุได้,,2,1.57,ChIJ46fMfWIhHTER2e6VAjcn4wU
Café Amazon PTT LPG Gateway City,J897+45V Unnamed Road ตำบล หัวสำโรง อำเภอแปลงยาว ฉะเชิงเทรา 24190 ประเทศไทย,13.6178582,101.312935,4.0,20,ไม่สามารถระบุได้,,2,1.36,ChIJszG5YDIhHTERCp821_shP94
Café Amazon @Ptt Wangnamyen,399 4 ตำบล วังน้ำเย็น อำเภอ วังน้ำเย็น สระแก้ว 27210 ประเทศไทย,13.5086667,102.1778526,4.4,21,ไม่สามารถระบุได้,,0,9.84,ChIJZ1A1XCdbGzERz1M4G-18gbM
Café Amazon,"JJJ7+M34, AH1, Krong Poi Pet, กัมพูชา",13.6316381,102.6127019,4.2,24,ไม่สามารถระบุได้,,0,3.97,ChIJuVDSiW4XGzERGyh_Fi___hE
Café Amazon,"HXPC+HHR, NHway 5, Sisophon, กัมพูชา",13.5864782,102.9713949,4.3,53,ไม่สามารถระบุได้,,0,39.14,ChIJp4AsAF7nGjERRAXXpLnuVZM
CAFÉ AMAZON DD 3260,MQR7+39H 3089 ตำบล นางแก้ว อำเภอโพธาราม ราชบุรี 70120 ประเทศไทย,13.6901895,99.76349499999999,4.5,57,ไม่สามารถระบุได้,,0,9.61,ChIJV8mhnsYj4zAR8DSOmROFwNI
CAFÉ AMAZON ปตท.บางแพ,MWX5+57P ตำบล วังเย็น อำเภอบางแพ ราชบุรี 70160 ประเทศไทย,13.6979592,99.90819379999999,4.3,160,ไม่สามารถระบุได้,ผู้ใช้รถยนต์/นักเดินทาง,0,2.41,ChIJKS7uRPHf4jARCnl6ubhZGow
Café Amazon,PV26+8WQ ตำบล คลองตาคต อำเภอโพธาราม ราชบุรี 70120 ประเทศไทย,13.7008481,99.8623729,4.5,52,ไม่สามารถระบุได้,,1,1.25,ChIJYw8KYTEg4zARwlvHloMWkGo
คาเฟ่ อเมซอน สาขา แยกโรงพยาบาลโพธาราม,Unnamed Road ตำบล โพธาราม อำเภอโพธาราม ราชบุรี 70120 ประเทศไทย,13.6955406,99.8521506,4.4,73,ไม่สามารถระบุได้,ผู้ป่วย/บุคลากรทางการแพทย์,1,1.25,ChIJe_Kt-fkh4zARhc5K-kJpxOI
